    0.2970    -10.0068
0.29710     -9.99990     0
0.30640     -9.35990     94
0.31570     -8.71980     187
0.32500     -8.07980     280
0.33430     -7.43970     373
0.34360     -6.79960     466
0.35290     -6.15960     559
0.36220     -5.51950     652
0.37270     -5.09450     754
0.38250     -4.52690     850
0.39260     -4.03150     950
0.40230     -3.44600     1045
0.41210     -2.88470     1141
0.42170     -2.26460     1234
0.43130     -1.66320     1328
0.44100     -1.08010     1422
0.45030     -0.44170     1512
0.46010     0.12770     1608
0.46930     0.78010     1698
0.47870     1.41110     1789
0.48790     2.05880     1880
0.49730     2.69330     1971
0.50630     3.37040     2059
0.51530     4.04890     2146
0.52460     4.69180     2237
0.53370     5.35090     2326
0.54210     6.09830     2408
0.55030     6.87620     2488
0.55890     7.61190     2572
0.56680     8.42090     2648
0.57430     9.25620     2721
0.58130     10.14040     2790
0.58870     10.99160     2862
0.59570     11.88730     2930
0.60170     12.84870     2988
0.60720     13.82800     3041
0.61150     14.86750     3082
0.61580     15.95150     3123
0.61960     17.02290     3160
0.62250     18.11120     3187
0.62640     19.19000     3224
0.62890     20.31000     3247
0.63050     21.57250     3260
0.63170     22.73000     3271
0.63280     24.17670     3279
0.63390     25.56660     3288
0.63430     26.71000     3291
0.63380     27.96330     9363
0.63220     29.10330     9377
0.63090     30.26000     9388
0.62990     31.43330     9396
0.62850     32.72080     9407
0.62630     33.83920     9429
0.62410     34.95750     9451
0.62190     36.07580     9473
0.61970     37.19420     9495
0.61750     38.31250     9517
0.61530     39.43080     9539
0.61310     40.54920     9561
0.61090     41.66750     9583
0.60870     42.78580     9605
0.60650     43.90420     9627
0.60430     45.02250     9649
0.60210     46.14080     9671
0.59990     47.25920     9693
0.59770     48.37750     9715
0.59550     49.49580     9737
0.59330     50.61420     9759
0.59110     51.73250     9781
0.58890     52.85080     9803
0.58670     53.96920     9825
0.58450     55.08750     9847
0.58230     56.20580     9869
0.58010     57.32420     9891
0.57790     58.44250     9913
0.57570     59.56080     9935
0.57350     60.67920     9957
0.57130     61.79750     9979
0.56910     62.91580     10001
0.56690     64.03420     10023
0.56470     65.15250     10045
0.56250     66.27080     10067
0.56030     67.38920     10089
0.55810     68.50750     10111
0.55590     69.62580     10133
0.55370     70.74420     10155
0.55150     71.86250     10177
0.54930     72.98080     10199
0.54710     74.09920     10221
0.54490     75.21750     10243
0.54270     76.33580     10265
0.54050     77.45420     10287
0.53830     78.57250     10309
0.53610     79.69080     10331
0.53390     80.80920     10353
0.53170     81.92750     10375
0.52950     83.04580     10397
0.52730     84.16420     10419
0.52560     85.02830     10436
